card_name,quantity,set_code,set_name,collector_number,is_commander
"Edric, Spymaster of Trest",1,OTC,Outlaws of Thunder Junction Commander,221,YES
"Edric, Spymaster of Trest",1,C16,Commander 2016,195,YES
"Edric, Spymaster of Trest",1,PZ1,Legendary Cube Prize Pack,100,YES
"Edric, Spymaster of Trest",1,VMA,Vintage Masters,251,YES
"Edric, Spymaster of Trest",1,CNS,Conspiracy,187,YES
"Edric, Spymaster of Trest",1,CM1,Commander's Arsenal,8,YES
"Edric, Spymaster of Trest",1,CMD,Commander 2011,196,YES
Slither Blade,1,OTC,Outlaws of Thunder Junction Commander,114,
Slither Blade,1,ZNC,Zendikar Rising Commander,36,
Slither Blade,1,AKR,Amonkhet Remastered,79,
Slither Blade,1,PLST,The List,AKH-71,
Slither Blade,1,AKH,Amonkhet,71,
Triton Shorestalker,1,PA1,Pioneer Anthology 1,1,
Triton Shorestalker,1,OTC,Outlaws of Thunder Junction Commander,121,
Triton Shorestalker,1,J22,Jumpstart 2022,365,
Triton Shorestalker,1,ZNC,Zendikar Rising Commander,38,
Triton Shorestalker,1,JOU,Journey into Nyx,56,
Mist-Cloaked Herald,1,M19,Core Set 2019,310,
Mist-Cloaked Herald,1,RIX,Rivals of Ixalan,43,
Gudul Lurker,1,PLST,The List,DTK-56,
Gudul Lurker,1,DTK,Dragons of Tarkir,56,
Spectral Sailor,1,J25,Foundations Jumpstart,363,
Spectral Sailor,1,FDN,Foundations,164,
Spectral Sailor,1,PLST,The List,M20-76,
Spectral Sailor,1,LCC,The Lost Caverns of Ixalan Commander,172,
Spectral Sailor,1,J22,Jumpstart 2022,64,
Spectral Sailor,1,VOC,Crimson Vow Commander,114,
Spectral Sailor,1,JMP,Jumpstart,178,
Spectral Sailor,1,M20,Core Set 2020,76,
Siren Stormtamer,1,PLST,The List,XLN-79,
Siren Stormtamer,1,LCC,The Lost Caverns of Ixalan Commander,171,
Siren Stormtamer,1,CMR,Commander Legends,96,
Siren Stormtamer,1,XLN,Ixalan,79,
Faerie Seer,1,J25,Foundations Jumpstart,106,
Faerie Seer,1,PRM,Magic Online Promos,91247,
Faerie Seer,1,PLST,The List,MH1-51,
Faerie Seer,1,WOC,Wilds of Eldraine Commander,92,
Faerie Seer,1,J22,Jumpstart 2022,295,
Faerie Seer,1,J21,Jumpstart: Historic Horizons,190,
Faerie Seer,1,H1R,Modern Horizons 1 Timeshifts,8,
Faerie Seer,1,MH1,Modern Horizons,51,
Cloud Sprite,1,PS11,Salvat 2011,29,
Cloud Sprite,1,DPA,Duels of the Planeswalkers,4,
Cloud Sprite,1,10E,Tenth Edition,75★,
Cloud Sprite,1,10E,Tenth Edition,75,
Cloud Sprite,1,MMQ,Mercadian Masques,67,
Zephyr Sprite,1,M10,Magic 2010,82,
Spire Tracer,1,GTC,Gatecrash,135,
Treetop Scout,1,PSAL,Salvat 2005,B6,
Treetop Scout,1,PSAL,Salvat 2005,B5,
Treetop Scout,1,SCG,Scourge,130,
Scryb Sprites,1,PRM,Magic Online Promos,62431,
Scryb Sprites,1,ME3,Masters Edition III,132,
Scryb Sprites,1,ME1,Masters Edition,128,
Scryb Sprites,1,BRB,Battle Royale Box Set,66,
Scryb Sprites,1,5ED,Fifth Edition,324,
Scryb Sprites,1,ITP,Introductory Two-Player Set,43,
Scryb Sprites,1,RQS,Rivals Quick Start Set,42,
Scryb Sprites,1,4BB,Fourth Edition Foreign Black Border,270,
Scryb Sprites,1,4ED,Fourth Edition,270,
Scryb Sprites,1,SUM,Summer Magic / Edgar,215,
Scryb Sprites,1,FBB,Foreign Black Border,215,
Scryb Sprites,1,3ED,Revised Edition,215,
Scryb Sprites,1,2ED,Unlimited Edition,216,
Scryb Sprites,1,LEB,Limited Edition Beta,216,
Scryb Sprites,1,LEA,Limited Edition Alpha,215,
Network Disruptor,1,J25,Foundations Jumpstart,334,
Network Disruptor,1,NEO,Kamigawa: Neon Dynasty,71,
Faerie Miscreant,1,M20,Core Set 2020,58,
Faerie Miscreant,1,ORI,Magic Origins,57,
Mistway Spy,1,MKM,Murders at Karlov Manor,65,
Lantern Bearer,1,INR,Innistrad Remastered,72,
Lantern Bearer,1,DBL,Innistrad: Double Feature,333,
Lantern Bearer,1,VOW,Innistrad: Crimson Vow,66,
Spyglass Siren,1,LCI,The Lost Caverns of Ixalan,405,
Spyglass Siren,1,LCI,The Lost Caverns of Ixalan,78,
Silver Raven,1,AFR,Adventures in the Forgotten Realms,74,
Wingcrafter,1,MM3,Modern Masters 2017,58,
Wingcrafter,1,AVR,Avacyn Restored,83,
Looter il-Kor,1,PLST,The List,TSP-66,
Looter il-Kor,1,CMM,Commander Masters,102,
Looter il-Kor,1,NCC,New Capenna Commander,225,
Looter il-Kor,1,TSR,Time Spiral Remastered,74,
Looter il-Kor,1,TD0,Magic Online Theme Decks,A25,
Looter il-Kor,1,TSP,Time Spiral,66,
Cloudfin Raptor,1,PIO,Pioneer Masters,50,
Cloudfin Raptor,1,RVR,Ravnica Remastered,310,
Cloudfin Raptor,1,RVR,Ravnica Remastered,37,
Cloudfin Raptor,1,GK2,RNA Guild Kit,108,
Cloudfin Raptor,1,GTC,Gatecrash,32,
Merfolk Windrobber,1,ZNR,Zendikar Rising,70,
Artificer's Assistant,1,PLST,The List,DOM-44,
Artificer's Assistant,1,DOM,Dominaria,44,
Spiketail Hatchling,1,10E,Tenth Edition,111★,
Spiketail Hatchling,1,10E,Tenth Edition,111,
Spiketail Hatchling,1,8ED,Eighth Edition,102★,
Spiketail Hatchling,1,8ED,Eighth Edition,102,
Spiketail Hatchling,1,PCY,Prophecy,49,
"Tetsuko Umezawa, Fugitive",1,SLD,Secret Lair Drop,7055,
"Tetsuko Umezawa, Fugitive",1,PLST,The List,MUL-12,
"Tetsuko Umezawa, Fugitive",1,PLST,The List,DOM-69,
"Tetsuko Umezawa, Fugitive",1,BLC,Bloomburrow Commander,177,
"Tetsuko Umezawa, Fugitive",1,CMM,Commander Masters,126,
"Tetsuko Umezawa, Fugitive",1,MUL,Multiverse Legends,142z,
"Tetsuko Umezawa, Fugitive",1,MUL,Multiverse Legends,142,
"Tetsuko Umezawa, Fugitive",1,MUL,Multiverse Legends,77,
"Tetsuko Umezawa, Fugitive",1,MUL,Multiverse Legends,12,
"Tetsuko Umezawa, Fugitive",1,MOC,March of the Machine Commander,240,
"Tetsuko Umezawa, Fugitive",1,PDOM,Dominaria Promos,69s,
"Tetsuko Umezawa, Fugitive",1,DOM,Dominaria,69,
Llanowar Elves,1,SLC,Secret Lair Countdown,39,
Llanowar Elves,1,SLC,Secret Lair Countdown,12,
Llanowar Elves,1,SLD,Secret Lair Drop,1553,
Llanowar Elves,1,SLD,Secret Lair Drop,800,
Llanowar Elves,1,J25,Foundations Jumpstart,149,
Llanowar Elves,1,FDN,Foundations,439,
Llanowar Elves,1,FDN,Foundations,429,
Llanowar Elves,1,FDN,Foundations,227,
Llanowar Elves,1,PDMU,Dominaria United Promos,1★,
