card_name,quantity,set_code,set_name,collector_number,is_commander
"Fynn, the Fangbearer",1,FCA,Final Fantasy: Through the Ages,46,YES
"Fynn, the Fangbearer",1,FDN,Foundations,637,YES
"Fynn, the Fangbearer",1,PLST,The List,KHM-170,YES
"Fynn, the Fangbearer",1,SLD,Secret Lair Drop,1449,YES
"Fynn, the Fangbearer",1,MUL,Multiverse Legends,156z,YES
"Fynn, the Fangbearer",1,MUL,Multiverse Legends,156,YES
"Fynn, the Fangbearer",1,MUL,Multiverse Legends,91,YES
"Fynn, the Fangbearer",1,MUL,Multiverse Legends,26,YES
"Fynn, the Fangbearer",1,PRM,Magic Online Promos,88354,YES
"Fynn, the Fangbearer",1,KHM,Kaldheim,316,YES
"Fynn, the Fangbearer",1,KHM,Kaldheim,170,YES
Ambush Viper,1,AA3,Arena Anthology 3,15,
Ambush Viper,1,INR,Innistrad Remastered,186,
Ambush Viper,1,CMR,Commander Legends,213,
Ambush Viper,1,ISD,Innistrad,169,
Deadly Recluse,1,CMM,Commander Masters,282,
Deadly Recluse,1,2X2,Double Masters 2022,142,
Deadly Recluse,1,DDL,Duel Decks: Heroes vs. Monsters,45,
Deadly Recluse,1,M14,Magic 2014,168,
Deadly Recluse,1,M13,Magic 2013,165,
Deadly Recluse,1,CMD,Commander 2011,149,
Deadly Recluse,1,M10,Magic 2010,175,
Sedge Scorpion,1,M20,Core Set 2020,192,
Sedge Scorpion,1,THS,Theros,177,
Moss Viper,1,THB,Theros Beyond Death,179,
Tajuru Blightblade,1,ZNR,Zendikar Rising,208,
Thornweald Archer,1,J25,Foundations Jumpstart,724,
Thornweald Archer,1,FDN,Foundations,559,
Thornweald Archer,1,GN3,Game Night: Free-for-All,110,
Thornweald Archer,1,TSR,Time Spiral Remastered,240,
Thornweald Archer,1,PLST,The List,CMA-154,
Thornweald Archer,1,CMA,Commander Anthology,154,
Thornweald Archer,1,DDR,Duel Decks: Nissa vs. Ob Nixilis,22,
Thornweald Archer,1,EMA,Eternal Masters,189,
Thornweald Archer,1,C14,Commander 2014,219,
Thornweald Archer,1,FUT,Future Sight,154,
Nightshade Dryad,1,MH3,Modern Horizons 3,163,
Fang of Shigeki,1,NEO,Kamigawa: Neon Dynasty,347,
Fang of Shigeki,1,NEO,Kamigawa: Neon Dynasty,183,
Wasteland Viper,1,PLST,The List,GK2-85,
Wasteland Viper,1,RVR,Ravnica Remastered,160,
Wasteland Viper,1,GK2,RNA Guild Kit,85,
Wasteland Viper,1,GTC,Gatecrash,139,
Narnam Renegade,1,KLR,Kaladesh Remastered,170,
Narnam Renegade,1,AER,Aether Revolt,117,
Gnarlwood Dryad,1,DSC,Duskmourn: House of Horror Commander,180,
Gnarlwood Dryad,1,SIR,Shadows over Innistrad Remastered,196,
Gnarlwood Dryad,1,EMN,Eldritch Moon,159,
Jewel-Eyed Cobra,1,J21,Jumpstart: Historic Horizons,592,
Jewel-Eyed Cobra,1,MH2,Modern Horizons 2,168,
Poison Dart Frog,1,M3C,Modern Horizons 3 Commander,238,
Poison Dart Frog,1,LCI,The Lost Caverns of Ixalan,207,
Toxic Scorpion,1,DBL,Innistrad: Double Feature,491,
Toxic Scorpion,1,VOW,Innistrad: Crimson Vow,224,
Ankle Biter,1,OTJ,Outlaws of Thunder Junction,153,
Kraul Stinger,1,WAR,War of the Spark,165,
Daggerback Basilisk,1,PLST,The List,M19-174,
Daggerback Basilisk,1,M19,Core Set 2019,174,
Daggerback Basilisk,1,BBD,Battlebond,194,
Daggerback Basilisk,1,DDP,Duel Decks: Zendikar vs. Eldrazi,11,
Daggerback Basilisk,1,ROE,Rise of the Eldrazi,182,
Underdark Basilisk,1,HBG,Alchemy Horizons: Baldur's Gate,227,
Underdark Basilisk,1,AFR,Adventures in the Forgotten Realms,334,
Underdark Basilisk,1,AFR,Adventures in the Forgotten Realms,208,
Ichorspit Basilisk,1,ONE,Phyrexia: All Will Be One,170,
Mirkwood Spider,1,LTR,The Lord of the Rings: Tales of Middle-earth,629,
Mirkwood Spider,1,LTR,The Lord of the Rings: Tales of Middle-earth,178,
Heir of the Wilds,1,PRM,Magic Online Promos,54555,
Heir of the Wilds,1,PKTK,Khans of Tarkir Promos,134,
Heir of the Wilds,1,KTK,Khans of Tarkir,134,
Nightshade Peddler,1,PLST,The List,AVR-187,
Nightshade Peddler,1,AVR,Avacyn Restored,187,
Hornet Nest,1,TDC,Tarkir: Dragonstorm Commander,259,
Hornet Nest,1,PIO,Pioneer Masters,180,
Hornet Nest,1,SCD,Starter Commander Decks,189,
Hornet Nest,1,C21,Commander 2021,192,
Hornet Nest,1,PLST,The List,M15-177,
Hornet Nest,1,M15,Magic 2015,177,
Hornet Queen,1,DSC,Duskmourn: House of Horror Commander,184,
Hornet Queen,1,PIP,Fallout,878,
Hornet Queen,1,PIP,Fallout,350,
Hornet Queen,1,MKC,Murders at Karlov Manor Commander,172,
Hornet Queen,1,LTC,Tales of Middle-earth Commander,250,
Hornet Queen,1,SCD,Starter Commander Decks,190,
Hornet Queen,1,P30A,30th Anniversary Play Promos,19,
Hornet Queen,1,CLB,Commander Legends: Battle for Baldur's Gate,825,
Hornet Queen,1,C21,Commander 2021,193,
Hornet Queen,1,AKR,Amonkhet Remastered,196,
Hornet Queen,1,C20,Commander 2020,176,
Hornet Queen,1,M15,Magic 2015,178,
Hornet Queen,1,CMD,Commander 2011,159,
Blight Mamba,1,PLST,The List,SOM-112,
