card_name,quantity,set_code,set_name,collector_number,is_commander
"Talrand, Sky Summoner",1,OTC,Outlaws of Thunder Junction Commander,116,YES
"Talrand, Sky Summoner",1,CMM,Commander Masters,673,YES
"Talrand, Sky Summoner",1,CMM,Commander Masters,499,YES
"Talrand, Sky Summoner",1,CMM,Commander Masters,124,YES
"Talrand, Sky Summoner",1,2X2,Double Masters 2022,434,YES
"Talrand, Sky Summoner",1,2X2,Double Masters 2022,64,YES
"Talrand, Sky Summoner",1,C21,Commander 2021,131,YES
"Talrand, Sky Summoner",1,TSR,Time Spiral Remastered,318,YES
"Talrand, Sky Summoner",1,JMP,Jumpstart,181,YES
"Talrand, Sky Summoner",1,C20,Commander 2020,125,YES
"Talrand, Sky Summoner",1,PANA,MTG Arena Promos,102,YES
"Talrand, Sky Summoner",1,PLST,The List,DDS-11,YES
"Talrand, Sky Summoner",1,C19,Commander 2019,97,YES
"Talrand, Sky Summoner",1,UMA,Ultimate Masters,76,YES
"Talrand, Sky Summoner",1,DDS,Duel Decks: Mind vs. Might,11,YES
"Talrand, Sky Summoner",1,C15,Commander 2015,109,YES
"Talrand, Sky Summoner",1,M13,Magic 2013,72,YES
Archaeomancer,1,SLD,Secret Lair Drop,2242,
Archaeomancer,1,PIO,Pioneer Masters,284,
Archaeomancer,1,J25,Foundations Jumpstart,285,
Archaeomancer,1,PLST,The List,M14-43,
Archaeomancer,1,SLD,Secret Lair Drop,283,
Archaeomancer,1,PLST,The List,C17-81,
Archaeomancer,1,UMA,Ultimate Masters,45,
Archaeomancer,1,C17,Commander 2017,81,
Archaeomancer,1,DDM,Duel Decks: Jace vs. Vraska,13,
Archaeomancer,1,M14,Magic 2014,43,
Archaeomancer,1,M13,Magic 2013,41,
Augur of Bolas,1,J25,Foundations Jumpstart,286,
Augur of Bolas,1,PLST,The List,MM3-30,
Augur of Bolas,1,PWAR,War of the Spark Promos,41,
Augur of Bolas,1,WAR,War of the Spark,41,
Augur of Bolas,1,MM3,Modern Masters 2017,30,
Augur of Bolas,1,C13,Commander 2013,30,
Augur of Bolas,1,M13,Magic 2013,43,
"Baral, Chief of Compliance",1,SLD,Secret Lair Drop,2168,
"Baral, Chief of Compliance",1,SLD,Secret Lair Drop,1447,
"Baral, Chief of Compliance",1,MUL,Multiverse Legends,138z,
"Baral, Chief of Compliance",1,MUL,Multiverse Legends,138,
"Baral, Chief of Compliance",1,MUL,Multiverse Legends,73,
"Baral, Chief of Compliance",1,MUL,Multiverse Legends,8,
"Baral, Chief of Compliance",1,SLD,Secret Lair Drop,1164,
"Baral, Chief of Compliance",1,PLST,The List,TSR-306,
"Baral, Chief of Compliance",1,TSR,Time Spiral Remastered,306,
"Baral, Chief of Compliance",1,KLR,Kaladesh Remastered,42,
"Baral, Chief of Compliance",1,PAER,Aether Revolt Promos,28s,
"Baral, Chief of Compliance",1,AER,Aether Revolt,28,
Curious Homunculus,1,SIR,Shadows over Innistrad Remastered,58,
Curious Homunculus,1,EMN,Eldritch Moon,54,
Haughty Djinn,1,PRM,Magic Online Promos,103416,
Haughty Djinn,1,TDC,Tarkir: Dragonstorm Commander,154,
Haughty Djinn,1,OTC,Outlaws of Thunder Junction Commander,99,
Haughty Djinn,1,PDMU,Dominaria United Promos,52s,
Haughty Djinn,1,PDMU,Dominaria United Promos,52p,
Haughty Djinn,1,DMU,Dominaria United,394,
Haughty Djinn,1,DMU,Dominaria United,52,
Mnemonic Wall,1,PLST,The List,IMA-67,
