card_name,quantity,set_code,set_name,collector_number,is_commander
Teysa Karlov,1,CMM,Commander Masters,688,YES
Teysa Karlov,1,CMM,Commander Masters,593,YES
Teysa Karlov,1,CMM,Commander Masters,359,YES
Teysa Karlov,1,MUL,Multiverse Legends,191z,YES
Teysa Karlov,1,MUL,Multiverse Legends,191,YES
Teysa Karlov,1,MUL,Multiverse Legends,126,YES
Teysa Karlov,1,MUL,Multiverse Legends,61,YES
Teysa Karlov,1,SLD,Secret Lair Drop,1235,YES
Teysa Karlov,1,PRNA,Ravnica Allegiance Promos,212s,YES
Teysa Karlov,1,PRNA,Ravnica Allegiance Promos,212p,YES
Teysa Karlov,1,RNA,Ravnica Allegiance,212,YES
Zulaport Cutthroat,1,SLD,Secret Lair Drop,1982,
Zulaport Cutthroat,1,PIO,Pioneer Masters,121,
Zulaport Cutthroat,1,PLST,The List,GNT-36,
Zulaport Cutthroat,1,BLC,Bloomburrow Commander,190,
Zulaport Cutthroat,1,EA2,Explorer Anthology 2,11,
Zulaport Cutthroat,1,CLB,Commander Legends: Battle for Baldur's Gate,775,
Zulaport Cutthroat,1,TSR,Time Spiral Remastered,337,
Zulaport Cutthroat,1,SLD,Secret Lair Drop,156,
Zulaport Cutthroat,1,ZNC,Zendikar Rising Commander,57,
Zulaport Cutthroat,1,C20,Commander 2020,142,
Zulaport Cutthroat,1,GNT,Game Night,36,
Zulaport Cutthroat,1,A25,Masters 25,117,
Zulaport Cutthroat,1,BFZ,Battle for Zendikar,126,
Cruel Celebrant,1,LCC,The Lost Caverns of Ixalan Commander,267,
Cruel Celebrant,1,PLST,The List,WAR-188,
Cruel Celebrant,1,WAR,War of the Spark,188,
Vindictive Vampire,1,PLST,The List,RNA-90,
Vindictive Vampire,1,CLU,Ravnica: Clue Edition,126,
Vindictive Vampire,1,RVR,Ravnica Remastered,330,
Vindictive Vampire,1,RVR,Ravnica Remastered,97,
Vindictive Vampire,1,RNA,Ravnica Allegiance,90,
Bastion of Remembrance,1,TLE,Avatar: The Last Airbender Eternal,160,
Bastion of Remembrance,1,FIC,Final Fantasy Commander,274,
Bastion of Remembrance,1,TDC,Tarkir: Dragonstorm Commander,171,
Bastion of Remembrance,1,J25,Foundations Jumpstart,403,
Bastion of Remembrance,1,DSC,Duskmourn: House of Horror Commander,131,
Bastion of Remembrance,1,PLST,The List,IKO-73,
Bastion of Remembrance,1,BLC,Bloomburrow Commander,179,
Bastion of Remembrance,1,PIP,Fallout,710,
Bastion of Remembrance,1,PIP,Fallout,182,
Bastion of Remembrance,1,CMM,Commander Masters,138,
Bastion of Remembrance,1,IKO,Ikoria: Lair of Behemoths,73,
Falkenrath Noble,1,J25,Foundations Jumpstart,441,
Falkenrath Noble,1,DSC,Duskmourn: House of Horror Commander,140,
Falkenrath Noble,1,PLST,The List,VOC-128,
Falkenrath Noble,1,LCC,The Lost Caverns of Ixalan Commander,196,
Falkenrath Noble,1,SIS,Shadows of the Past,29,
Falkenrath Noble,1,J22,Jumpstart 2022,414,
Falkenrath Noble,1,VOC,Crimson Vow Commander,128,
Falkenrath Noble,1,JMP,Jumpstart,232,
Falkenrath Noble,1,C17,Commander 2017,113,
Falkenrath Noble,1,MM3,Modern Masters 2017,70,
Falkenrath Noble,1,DDQ,Duel Decks: Blessed vs. Cursed,57,
Falkenrath Noble,1,ISD,Innistrad,100,
"Syr Konrad, the Grim",1,FCA,Final Fantasy: Through the Ages,10,
"Syr Konrad, the Grim",1,DSC,Duskmourn: House of Horror Commander,158,
"Syr Konrad, the Grim",1,M3C,Modern Horizons 3 Commander,207,
"Syr Konrad, the Grim",1,PLST,The List,ELD-107,
"Syr Konrad, the Grim",1,MKC,Murders at Karlov Manor Commander,141,
"Syr Konrad, the Grim",1,PW23,Wizards Play Network 2023,5,
"Syr Konrad, the Grim",1,SLD,Secret Lair Drop,1297,
"Syr Konrad, the Grim",1,MOC,March of the Machine Commander,269,
