card_name,quantity,set_code,set_name,collector_number,is_commander
"Zada, Hedron Grinder",1,J25,Foundations Jumpstart,76,YES
"Zada, Hedron Grinder",1,PLST,The List,A25-156,YES
"Zada, Hedron Grinder",1,CMM,Commander Masters,268,YES
"Zada, Hedron Grinder",1,MUL,Multiverse Legends,155z,YES
"Zada, Hedron Grinder",1,MUL,Multiverse Legends,155,YES
"Zada, Hedron Grinder",1,MUL,Multiverse Legends,90,YES
"Zada, Hedron Grinder",1,MUL,Multiverse Legends,25,YES
"Zada, Hedron Grinder",1,A25,Masters 25,156,YES
"Zada, Hedron Grinder",1,PBFZ,Battle for Zendikar Promos,162s,YES
"Zada, Hedron Grinder",1,BFZ,Battle for Zendikar,162,YES
Dragon Fodder,1,FDN,Foundations,535,
Dragon Fodder,1,CMM,Commander Masters,217,
Dragon Fodder,1,J22,Jumpstart 2022,523,
Dragon Fodder,1,J22,Jumpstart 2022,76,
Dragon Fodder,1,JMP,Jumpstart,309,
Dragon Fodder,1,PLST,The List,GNT-39,
Dragon Fodder,1,GNT,Game Night,39,
Dragon Fodder,1,PRM,Magic Online Promos,55898,
Dragon Fodder,1,MM3,Modern Masters 2017,93,
Dragon Fodder,1,ORI,Magic Origins,140,
Dragon Fodder,1,PTKDF,Tarkir Dragonfury,135,
Dragon Fodder,1,DTK,Dragons of Tarkir,135,
Dragon Fodder,1,DDG,Duel Decks: Knights vs. Dragons,65,
Dragon Fodder,1,PS11,Salvat 2011,98,
Dragon Fodder,1,ARC,Archenemy,34,
Dragon Fodder,1,ALA,Shards of Alara,97,
Krenko's Command,1,J25,Foundations Jumpstart,140,
Krenko's Command,1,CLU,Ravnica: Clue Edition,139,
Krenko's Command,1,RVR,Ravnica Remastered,336,
Krenko's Command,1,RVR,Ravnica Remastered,115,
Krenko's Command,1,J21,Jumpstart: Historic Horizons,480,
Krenko's Command,1,PLST,The List,DDT-53,
Krenko's Command,1,DDT,Duel Decks: Merfolk vs. Goblins,53,
Krenko's Command,1,DDN,Duel Decks: Speed vs. Cunning,25,
Krenko's Command,1,M13,Magic 2013,139,
Hordeling Outburst,1,PLST,The List,A25-134,
Hordeling Outburst,1,ONC,Phyrexia: All Will Be One Commander,100,
Hordeling Outburst,1,J22,Jumpstart 2022,552,
Hordeling Outburst,1,J21,Jumpstart: Historic Horizons,470,
Hordeling Outburst,1,A25,Masters 25,134,
Hordeling Outburst,1,DDT,Duel Decks: Merfolk vs. Goblins,51,
Hordeling Outburst,1,PRM,Magic Online Promos,55783,
Hordeling Outburst,1,F15,Friday Night Magic 2015,3,
Hordeling Outburst,1,KTK,Khans of Tarkir,111,
Empty the Warrens,1,AA2,Arena Anthology 2,9,
Empty the Warrens,1,PLST,The List,DDS-15,
Empty the Warrens,1,DMR,Dominaria Remastered,318,
Empty the Warrens,1,DMR,Dominaria Remastered,118,
Empty the Warrens,1,TSR,Time Spiral Remastered,162,
Empty the Warrens,1,DDS,Duel Decks: Mind vs. Might,15,
Empty the Warrens,1,MMA,Modern Masters,112,
Empty the Warrens,1,TSP,Time Spiral,152,
Goblin Instigator,1,PLST,The List,M19-142,
Goblin Instigator,1,MOC,March of the Machine Commander,282,
Goblin Instigator,1,JMP,Jumpstart,327,
Goblin Instigator,1,M19,Core Set 2019,142,
Mogg War Marshal,1,SLD,Secret Lair Drop,1618,
Mogg War Marshal,1,DMR,Dominaria Remastered,326,
